applicant_id,batch_number,cnpj_cpf,congressperson_document,congressperson_id,congressperson_name,document_id,document_number,document_type,document_value,installment,issue_date,leg_of_the_trip,month,numbers,party,passenger,remark_value,state,subquota_description,subquota_group_description,subquota_group_id,subquota_number,supplier,term,term_id,total_net_value,total_value,year
3074,0,,1,178957,ABEL MESQUITA JR.,0,,0,175.91,0,,,2,['0'],DEM,,0,RR,Telecommunication,,0,10,RAMAL,2015,55,175.91,0,2018
3074,0,,1,178957,ABEL MESQUITA JR.,0,,0,87.11,0,,,3,['0'],DEM,,0,RR,Telecommunication,,0,10,RAMAL,2015,55,87.11,0,2018
3074,0,,1,178957,ABEL MESQUITA JR.,0,,0,26.86,0,,,1,['0'],DEM,,0,RR,Telecommunication,,0,10,RAMAL,2015,55,26.86,0,2018
3074,0,,1,178957,ABEL MESQUITA JR.,0,RSP : 2246325,1,45.3,0,2018-05-24 13:19:42,,5,['0'],DEM,,0,RR,Postal services,,0,11,CORREIOS - CARTA REGISTRADA,2015,55,45.3,0,2018
3074,0,,1,178957,ABEL MESQUITA JR.,0,RSP : 2247731,1,3.6,0,2018-06-14 13:55:50,,6,['0'],DEM,,0,RR,Postal services,,0,11,CORREIOS - ENVELOPE BÁSICO/CONVENCIONAL - PLÁSTICO/BOLHA,2015,55,3.6,0,2018
3074,0,,1,178957,ABEL MESQUITA JR.,0,RSP : 2239166,1,224.83,0,2018-03-22 11:17:02,,3,['0'],DEM,,0,RR,Postal services,,0,11,CORREIOS - SEDEX CONVENCIONAL,2015,55,224.83,0,2018
3074,0,,1,178957,ABEL MESQUITA JR.,0,RSP : 2242623,1,67.56,0,2018-04-27 13:25:47,,4,['0'],DEM,,0,RR,Postal services,,0,11,CORREIOS - SEDEX CONVENCIONAL,2015,55,67.56,0,2018
3074,0,,1,178957,ABEL MESQUITA JR.,0,RSP : 2247732,1,33.76,0,2018-06-14 13:55:19,,6,['0'],DEM,,0,RR,Postal services,,0,11,CORREIOS - SEDEX CONVENCIONAL,2015,55,33.76,0,2018
3074,0,,1,178957,ABEL MESQUITA JR.,0,RSP : 2249993,1,16.59,0,2018-07-11 16:15:36,,7,['0'],DEM,,0,RR,Postal services,,0,11,CORREIOS - SEDEX CONVENCIONAL,2015,55,16.59,0,2018
3074,0,07575651000159,1,178957,ABEL MESQUITA JR.,0,Bilhete: ADILRL,0,1126.93,0,2018-04-13 00:00:00,BSB/BVB,4,['0'],DEM,ABEL MESQUITA JR.,0,RR,Flight ticket issue,,0,999,Cia Aérea - GOL,2015,55,1126.93,0,2018
3074,0,07575651000159,1,178957,ABEL MESQUITA JR.,0,Bilhete: BFPGGS,0,-785.47,0,2018-05-28 00:00:00,BSB/BSB,5,['0'],DEM,ABEL MESQUITA JR.,0,RR,Flight ticket issue,,0,999,Cia Aérea - GOL,2015,55,-785.47,0,2018
3074,0,07575651000159,1,178957,ABEL MESQUITA JR.,0,Bilhete: BJ5VPW,0,507.93,0,2018-01-05 00:00:00,BSB/BVB,1,['0'],DEM,ABEL MESQUITA JR.,0,RR,Flight ticket issue,,0,999,Cia Aérea - GOL,2015,55,507.93,0,2018
3074,0,07575651000159,1,178957,ABEL MESQUITA JR.,0,Bilhete: BJ5VPW,0,-257.93,0,2018-02-23 00:00:00,BSB/BSB,2,['0'],DEM,ABEL MESQUITA JR.,0,RR,Flight ticket issue,,0,999,Cia Aérea - GOL,2015,55,-257.93,0,2018
3074,0,07575651000159,1,178957,ABEL MESQUITA JR.,0,Bilhete: BLQZ5N,0,886.93,0,2018-05-16 00:00:00,BSB/BVB,5,['0'],DEM,ABEL MESQUITA JR.,0,RR,Flight ticket issue,,0,999,Cia Aérea - GOL,2015,55,886.93,0,2018
3074,0,07575651000159,1,178957,ABEL MESQUITA JR.,0,Bilhete: CEHK4F,0,631.17,0,2018-02-15 00:00:00,BVB/BSB,2,['0'],DEM,ABEL MESQUITA JR.,0,RR,Flight ticket issue,,0,999,Cia Aérea - GOL,2015,55,631.17,0,2018
3074,0,07575651000159,1,178957,ABEL MESQUITA JR.,0,Bilhete: CEHK4F,0,-381.17,0,2018-03-19 00:00:00,BSB/BSB,3,['0'],DEM,ABEL MESQUITA JR.,0,RR,Flight ticket issue,,0,999,Cia Aérea - GOL,2015,55,-381.17,0,2018
3074,0,07575651000159,1,178957,ABEL MESQUITA JR.,0,Bilhete: DF2USV,0,531.17,0,2018-02-26 00:00:00,BVB/BSB,2,['0'],DEM,ABEL MESQUITA JR.,0,RR,Flight ticket issue,,0,999,Cia Aérea - GOL,2015,55,531.17,0,2018
3074,0,07575651000159,1,178957,ABEL MESQUITA JR.,0,Bilhete: DF2USV,0,-281.17,0,2018-03-27 00:00:00,BSB/BSB,3,['0'],DEM,ABEL MESQUITA JR.,0,RR,Flight ticket issue,,0,999,Cia Aérea - GOL,2015,55,-281.17,0,2018
3074,0,07575651000159,1,178957,ABEL MESQUITA JR.,0,Bilhete: DMC5UA,0,427.93,0,2018-02-15 00:00:00,BSB/BVB,2,['0'],DEM,ABEL MESQUITA JR.,0,RR,Flight ticket issue,,0,999,Cia Aérea - GOL,2015,55,427.93,0,2018
3074,0,07575651000159,1,178957,ABEL MESQUITA JR.,0,Bilhete: EI11QM,0,629.8,0,2018-01-05 00:00:00,BVB/BSB,1,['0'],DEM,ABEL MESQUITA JR.,0,RR,Flight ticket issue,,0,999,Cia Aérea - GOL,2015,55,629.8,0,2018
3074,0,07575651000159,1,178957,ABEL MESQUITA JR.,0,Bilhete: EI11QM,0,-379.8,0,2018-02-05 00:00:00,BSB/BSB,2,['0'],DEM,ABEL MESQUITA JR.,0,RR,Flight ticket issue,,0,999,Cia Aérea - GOL,2015,55,-379.8,0,2018
